#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
99bccd58aaeb00f98e22add40be6e36b	0	0	0	0	49	0	92	18	0	22	0	0	0	0	23	33	0	0	0	0	62	155	0	133	0	72	0	0	0	0	0	0	0	0	0	49
47e3c1352b455493689dd1326fe62938	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	142	0	0	0	0	110	0	0	0	0	48	0	0	0	0	48	0	0	0	0	147
9714f3d83715aea441de90a47da38272	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	492	0	0	0	0	18	0	0
bcc6da5f621cbdfc1f0c9becbac6cdff	0	0	0	0	15	0	0	103	0	0	0	7	0	0	223	0	0	0	23	75	13	83	0	69	0	9	21	0	16	0	0	33	0	0	0	0
9a53e7410894fcfd67c000d9cc5770fa	0	0	0	0	168	0	62	42	0	0	0	0	0	0	0	142	0	0	0	0	122	0	0	0	0	0	104	0	0	0	10	0	0	0	0	0
53a29d0041bec415f7dc61ffba1fa49c	0	0	0	0	0	0	0	17	0	0	0	0	0	0	166	0	0	0	0	321	0	79	0	2	3	0	28	0	0	8	0	19	0	0	0	0
c06ccd1f7d57566ef669942328b1a946	0	0	0	0	0	0	0	19	0	0	37	0	0	15	3	0	0	37	0	47	0	0	285	8	0	0	133	0	0	0	0	33	0	14	0	0
969e2456137c3aa8c0f7d20780612a5a	0	0	0	0	0	0	0	0	0	0	55	0	0	279	0	0	0	85	0	0	0	0	202	0	0	0	0	5	0	0	0	0	0	0	0	0
c2106bcf97b4b4943468544c7e089bda	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0
3cda254920c4d7a9cbe742c102ba4ae5	0	0	0	0	0	0	77	0	0	0	0	251	0	0	0	70	0	0	0	0	0	84	0	0	0	0	44	0	0	15	17	0	0	0	0	32
7ead17a076e7b7b419bf50abe7eee3f4	0	0	0	0	0	0	0	104	0	0	0	14	0	0	133	0	8	4	4	113	18	41	0	27	0	40	12	6	2	0	27	14	0	4	0	0
ff918b02f15eab43a807a50669ae0410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	474
d02bba2b111b7f3b978700a458595e01	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e5c19d7800b18015f3a917fc015fc42f	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	161	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0
79c637908f93bba976ad429e8b6c5d7f	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	64	0	0	0	0	0	92	0	0	222	0	0	0	0	0	0	0	0	0
